name,number,title
LPL副舞台,280.8万,IG vs SNG LPL副舞台
LPL职业联赛,132.6万,JDG vs LGD LPL夏季赛
骚男,99.7万,性感亚索。在线砍杀
蛇哥colin,35.5万,无限火力之王！疯狂杀戮！
Dopa,16.7万,Dopa 卡牌  峡谷大师
第一吸血鬼屿水,13.4万,吸血鬼100%胜率虐泉-轻松上钻
虎丶牙莎莉,10.4万,峡谷王者1293分第2单排冲第一！
正恒丶奥贝罗,7.4万,昏君上朝了
南波儿,6.4万,杀亚索7次输了直播关美颜！
黑店百地,5.6万,1000护甲300魔抗石头人
芜湖神,4.9万,今天再次尽力而为 No.1
LCK冠军联赛,4.9万,24日重播，26日16:00 SKT vs KT
节奏,4.7万,节奏：跟阿特冲峡谷第一 目前1031
爱拍-萝莉酱,4.3万,砸键盘起家的主播了解一下？
亿凡-yomi,3.9万,万场武器 99胜率 最强教学
正恒丶菊花,3.6万,新版本AD解读.国服最强滑板鞋
Yan-波比斌,3.2万,御前四品带锤小炮
纪小鹿,2.5万,【纪小鹿】输了深蹲20次
思念-王者蛮王,2.4万,思念蛮王教学：二十多连胜了会有三十连胜吗
铭人丶夏佐,2.1万,三相盖伦：无视控制德玛了解下！
李青强,1.8万,韩服王者安排职业选手教学~
彩旗卡特,1.8万,彩旗卡特:韩服王者冲前十
烟雨丶小D狗头,1.6万,小D狗头的叠Q大法
China奥法,1.6万,虎牙第一小法师
唯秀丶天言瑞兹,1.5万,国服第一相位瑞兹导师-带你脱坑
手速流,1.4万,峡谷之巅-冲国服第一盲僧不罢休
安静苦笑大官人,1.2万,奶妈瑞兹最脏套路
listen很无聊,10000,学学怎么玩
烟雨丶陈年剑圣,9529,中单剑圣 一秒叠满羊刀1区黄金4
夜刀神索凉宫忧丶,8941,国服路人亚索夜刀神索（老夜刀天秀场）
潘神丶,8429,潘神：峡谷冲分就完事啦！
三疯,8082,一起玩 扭曲丛林 黄金局=3=
烟雨丶景颜,7490,南通妹子（9.30工会战第二场求保护~嘤
猛比丶R1ven,7239,钻石教学局  猛比 锐雯
虎牙小小东,7021,电一王者小东德莱文钻1以下TP
小阿狸๑,6741,【·公会赛礼物请点赞·】走过路过不要错过
最快锐雯风神,6634,世界最快光速锐雯
浅小瞳,6625,看我直播一个月必上钻石！不上你锤我！
先锋丶阿涛,6566,盖伦是一种信仰！
阿伟丶猴子盖伦,6556,德玛岚切穿甲秒杀教学流
先锋丶宝宝提莫,6419,提莫王 一直很努力的一个主播
正恒丶救世主,6419,世界级盲僧手把手教学 大师王者局
正恒丶兔子,6311,2万场猴王教学 王者局 今天目标300分
烟雨丶大叔,6249,最强拉克丝：钻石大师王者躺赢教学
王者强,6021,峡谷干就完了，王者强
火苗OB解说,5465,UZ1 卡萨 韩服套路练习
第一蛮王柒林,5446,新版本上单蛮王黑色玫瑰带水友了，一起玩。
4120倩倩,5369,声优*乱秀ADC丶AP专场
雨雾-阿龙赵信,5256,国服第一赵信！长抢依在！
LOL-S系列赛事,5127,英雄联盟S系列赛经典回顾
正恒丶雪梨,4896,[艾欧尼亚] 仙女界带汉狂魔
天亿-羡余,4621,贵州妹子，爱笑，工会战求过任务！
七夜,4590,峡谷675王者AD  冲前10吧
正恒丶狸儿,4290,你的女朋友在这呢~
先锋丶小暖7,4263,女凯隐：输了蹲起20个/唱歌 2选1
正恒丶别闹,4253,戒网timo 了解一下
娱加-贝丫头,4067,甘肃新主播，黑色玫瑰开车啦
王者三弟,3715,00后王者男枪豹女千珏 皮尔特沃夫白金
爱拍小僧空空剑圣,3593,单排峡谷之巅中单剑圣大师王者局
先锋丶凡人,3483,虎牙最秀劫
天才雯神,3451,王者锐雯A建QA手法 接号
珏宝小可爱ღ,3424,心怀梦想的艾克宝宝
泰戈尔-王者蛮王,3423,风骑蛮王 引领时尚 走路带闪电。
聆听-解说梓童,3244,『虚拟女友』梓童：达令一起玩艾欧尼亚水友
娱加-陈宝儿,3232,安徽小姐姐黑色玫瑰一起玩
霸气剑姬,3195,黑色开黑一起玩房管上钻
正恒丶苏苏,3168,洁白的婚纱手捧着鲜花
性感阿力在线虐人,3130,艾克   技术不高  但是我骚
Flower,3079,黑色玫瑰❤开车啦
正恒丶Carry熙,3037,26号PK，求小哥哥拯救~！
凉艾,3001,电一璀璨青铜掌控者 QAQ
虎牙-君离,2916,新中野套路，网6扭曲丛林上车
虎牙鱼王-洛水尘,2911,鱼人vs莫甘娜。王者小鱼人。虎牙好声音
飞扬,2894,万场卡蜜尔屠杀秀场均20杀青钢影教学
小佳萌,2743,黑色玫瑰一起玩
邀月,2710,恋上VN的美少女~
90300小师妹,2680,一个即将饿死的技术主播
中单德莱文白影,2645,德莱文最强出装符文！有没有要上电视的！
村里的小花姑娘丶,2637,湖南新主播 影流一起玩
正恒丶苏墨,2587,安徽主播一起玩 黑玫排位26号9点工会战
远神,2585,暴力野区教学
正恒丶陈龙,2561,陈龙 ：世界杯期间上天台直播！
正恒丶浮生,2545,【无限火力】开飞车给你看
韩歆瑶,2508,声优#黑色玫瑰：上车啦
闻泽丶音,2507,萌音大魔王
商丶少,2472,吾之疾风丶风过人灭
耳朵,2437,CR7，黑色玫瑰内战一起玩，感恩
小觅寻,2413,峡谷冲分 开会播 0.0
成都软妹妹,2404,电三内战要来的加好友！
封瑾锐雯,2390,最稳锐雯：精彩绝伦的峡谷之巅，又下暴雨了
坑货的提莫,2344,提莫上大师！目前钻1
6341-阿玖,2331,浙江妹子~ 人美声甜~ 了解一下~
安墨沫,2267,皮城警备武汉小姐姐了解一下
正恒-小M,2208,糟糕，是心动的感觉
冰熙,2195,御妹❤网6提莫男刀一起玩吗
娱加丶涛小炸,2179,2W场金克丝.走A的拉伸打法.一起玩
软吟吟丶,2179,污污~网一山东女司机开车~
爱拍-小青菜,2177,暗影岛 四川妹子带你坑
爱拍-水水90001,2174,湖北声优妹子黑色玫瑰一起玩！
娱加-安娜,2129,艾欧尼亚灵活一起玩吧！
正恒丶安颜,2112,黑色徽章上车 重庆妹子求惊喜
正恒丶陈思潼,2095,我是一个没有感情的杀手
领峰-霸霸,2087,这把输了学猪叫
少女白,2018,小可爱 ~随时有车位
娱加丶眯眯眼,1959,安徽妹子国服第一挨打 一起玩
长春市阿王,1958,为粉丝而战，点关注抽打号
云豹丶丁点,1898,行走江湖的你可以为我停一停么~~~
林三岁,1876,江西妹子 电一上车一起玩
中娱丶凉心,1876,卡特vs劫，输一盘直播自宫，一起玩
90625丶阿柠,1875,声优魅惑阿狸：我们心有灵犀，不是吗~
杰哥女枪,1867,赏金猎人 穿甲流女枪一枪一个小朋友
正恒丶小安柠,1859,黑色最皮巴德十点打游戏
零一c琴女o-o,1856,全球第一琴琴英雄去世器
海川丶星梦,1800,世界级大虫子 艾欧尼亚 白金
爱拍-二兮,1779,重庆小姐姐：此声只应天上有ღ
娱加-蓝妹妹,1755,电一免费上车2局
Cajin西法,1504,西法：虎牙第一凶~，工会活动~
爱拍-苏海棠,1450,你知道我对你不仅仅是喜欢  艾欧尼亚
中娱丶苏苏 勿忘初心,1411,艾欧尼亚湖北黄石妹子亡者日常黑屏日记
6341-小薇薇,1239,你的小姐姐已上线，希望成长有你陪伴~❤
